Date,Open,High,Low,Close,Adj Close,Volume
2017-02-14,2162.129883,2162.129883,2135.010010,2141.500000,2141.500000,0
2017-02-15,2140.199951,2156.360107,2109.929932,2137.080078,2137.080078,0
2017-02-16,2138.699951,2148.479980,2127.040039,2148.479980,2148.479980,0
2017-02-17,2148.580078,2148.840088,2125.449951,2128.209961,2128.209961,0
2017-02-20,2132.469971,2136.800049,2113.030029,2119.090088,2119.090088,0
2017-02-21,2118.850098,2135.969971,2111.550049,2127.719971,2127.719971,0
2017-02-22,2128.979980,2130.800049,2094.850098,2106.300049,2106.300049,0
2017-02-24,2106.959961,2106.959961,2081.350098,2093.090088,2093.090088,0
2017-02-27,2095.510010,2097.199951,2054.929932,2056.459961,2056.459961,0
2017-02-28,2057.739990,2057.770020,2027.050049,2035.770020,2035.770020,0
2017-03-01,2034.280029,2063.669922,2030.489990,2059.870117,2059.870117,0
2017-03-02,2062.610107,2076.709961,2044.250000,2049.000000,2049.000000,0
2017-03-03,2046.609985,2056.889893,2032.270020,2056.889893,2056.889893,0
2017-03-06,2056.629883,2071.689941,2045.280029,2047.420044,2047.420044,0
2017-03-07,2047.589966,2048.979980,2009.000000,2024.839966,2024.839966,0
2017-03-09,2010.849976,2020.040039,1971.729980,1974.239990,1974.239990,0
2017-03-10,1977.750000,1989.060059,1965.229980,1973.959961,1973.959961,0
2017-03-13,1972.660034,2001.709961,1968.609985,2000.140015,2000.140015,0
2017-03-14,2001.400024,2018.420044,1990.550049,2001.250000,2001.250000,0
2017-03-15,2003.089966,2018.390015,1989.119995,1992.589966,1992.589966,0
2017-03-16,2001.819946,2021.050049,1998.239990,2014.369995,2014.369995,0
2017-03-17,2015.589966,2045.849976,2013.819946,2036.959961,2036.959961,0
2017-03-20,2038.989990,2051.500000,2024.849976,2042.719971,2042.719971,0
2017-03-21,2045.189941,2067.399902,2040.550049,2048.070068,2048.070068,0
2017-03-22,2042.650024,2061.530029,2030.550049,2061.530029,2061.530029,0
2017-03-23,2065.370117,2072.909912,2040.180054,2051.040039,2051.040039,0
2017-03-24,2047.780029,2052.899902,2036.300049,2039.770020,2039.770020,0
2017-03-27,2034.099976,2034.099976,1997.920044,2013.160034,2013.160034,0
2017-03-28,2016.949951,2032.540039,2010.920044,2032.540039,2032.540039,0
2017-03-29,2032.489990,2037.579956,2013.130005,2023.709961,2023.709961,0
2017-03-30,2025.000000,2026.939941,2012.069946,2021.880005,2021.880005,0
2017-03-31,2021.160034,2022.239990,1992.949951,1995.900024,1995.900024,0
2017-04-03,1998.550049,2014.180054,1992.670044,2008.609985,2008.609985,0
2017-04-04,2007.900024,2028.010010,2005.609985,2025.689941,2025.689941,0
2017-04-05,2028.709961,2057.030029,2028.119995,2056.320068,2056.320068,0
2017-04-06,2052.050049,2058.110107,2043.420044,2054.689941,2054.689941,0
2017-04-07,2046.780029,2048.629883,2010.920044,2020.229980,2020.229980,0
2017-04-10,2017.750000,2017.750000,1965.579956,1971.229980,1971.229980,0
2017-04-11,1969.119995,1994.260010,1965.800049,1977.949951,1977.949951,0
2017-04-12,1985.689941,1986.560059,1942.579956,1947.880005,1947.880005,0
2017-04-13,1954.390015,1954.810059,1916.670044,1944.699951,1944.699951,0
2017-04-14,null,null,null,null,null,null
2017-04-17,1917.130005,1944.930054,1902.479980,1942.719971,1942.719971,0
2017-04-18,1944.280029,1949.520020,1914.439941,1920.290039,1920.290039,0
2017-04-19,1920.189941,1932.810059,1911.349976,1916.500000,1916.500000,0
2017-04-20,1912.699951,1932.250000,1900.719971,1932.170044,1932.170044,0
2017-04-21,1932.819946,1955.430054,1932.819946,1944.719971,1944.719971,0
2017-04-24,1954.310059,1979.760010,1954.310059,1979.569946,1979.569946,0
2017-04-25,1983.229980,2002.369995,1969.040039,1998.410034,1998.410034,0
2017-04-26,2000.800049,2031.079956,1994.520020,2026.920044,2026.920044,0
2017-04-27,2024.489990,2024.489990,2005.349976,2011.670044,2011.670044,0
2017-04-28,2021.739990,2031.060059,2011.020020,2016.709961,2016.709961,0
2017-05-02,2022.189941,2044.239990,2020.550049,2026.849976,2026.849976,0
2017-05-03,2024.400024,2027.650024,1992.329956,1993.660034,1993.660034,0
2017-05-04,1994.160034,2015.609985,1989.439941,1998.869995,1998.869995,0
2017-05-05,1989.880005,2002.410034,1982.969971,2002.410034,2002.410034,0
2017-05-10,2012.839966,2028.209961,2005.400024,2028.209961,2028.209961,0
2017-05-11,2028.260010,2028.579956,1991.810059,2002.540039,2002.540039,0
2017-05-12,2003.920044,2004.030029,1983.829956,1994.579956,1994.579956,0
2017-05-15,1995.599976,2008.109985,1984.060059,2003.119995,2003.119995,0
2017-05-16,2000.199951,2002.250000,1987.209961,1992.939941,1992.939941,0
2017-05-17,1989.020020,1999.560059,1982.969971,1994.349976,1994.349976,0
2017-05-18,1989.050049,1996.849976,1961.199951,1967.660034,1967.660034,0
2017-05-19,1969.729980,1977.030029,1954.319946,1962.400024,1962.400024,0
2017-05-22,1966.660034,1966.660034,1941.780029,1950.510010,1950.510010,0
2017-05-23,1950.270020,1966.189941,1945.500000,1960.160034,1960.160034,0
2017-05-24,1958.219971,1965.949951,1936.989990,1951.979980,1951.979980,0
2017-05-25,1955.829956,1960.949951,1939.969971,1947.260010,1947.260010,0
2017-05-26,1944.160034,1945.030029,1930.760010,1934.250000,1934.250000,0
